Employee_id,,Income_desc,Income_hrs,Income_amount,gross_amount,deductions_desc,deductions_amount,deductions_total,net_amount,,
MNL019002,2019-05-B (5/14/2019-5/28/2019),Regular Hours,80(0),50000,50000,"SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","800<br>
550.00<br>
100.00<br>
9,005.00",10455,39545,,
MNL019003,2019-05-B (5/14/2019-5/28/2019),Regular Hours,88(0),34125,34125,"HDMF Loan<br>
SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","1851.2<br>
800.00<br>
550.00<br>
100.00<br>
2,552.68",5853.88,28271.12,,
MNL019004,2019-05-B (5/14/2019-5/28/2019),"Regular Hours<br>
Regular Overtime<br>
Regular Day ND","88(0)<br>
3(0)<br>
37(0)","19975<br>
864.17<br>
852.65",21691.82,"SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","800<br>
549.31<br>
100.00<br>
1,251.05",2700.36,18991.46,,
MNL019005,2019-05-B (5/14/2019-5/28/2019),Regular Hours,88(0),42500,42500,"SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","800<br>
550.00<br>
100.00<br>
7,087.50",8537.5,33962.5,,
MNL019006,2019-05-B (5/14/2019-5/28/2019),"Regular Hours<br>
Adjustment Basic","80(0)<br>
0(0)","46872<br>
62,400.00",109272,"SSS Loan<br>
SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","1476.64<br>
800.00<br>
550.00<br>
100.00<br>
24,480.50",27407.14,81864.86,,
MNL019007,2019-05-B (5/14/2019-5/28/2019),Regular Hours,88(0),86250,86250,"SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","800<br>
550.00<br>
100.00<br>
13,148.33",14598.33,71651.67,,
MNL019008,2019-05-B (5/14/2019-5/28/2019),Regular Hours,80(0),16785.3,16785.3,"SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","680<br>
461.60<br>
100.00<br>
954.85",2196.45,14588.85,,
MNL019009,2019-05-B (5/14/2019-5/28/2019),Regular Hours,80(0),15450,15450,"SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","620<br>
428.88<br>
100.00<br>
610.05",1758.93,13691.07,,
MNL019010,2019-05-B (5/14/2019-5/28/2019),Regular Hours,88(0),17500,17500,"SSS Loan<br>
SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","1010.54<br>
800.00<br>
481.25<br>
100.00<br>
914.59",3306.38,14193.62,,
MNL019011,2019-05-B (5/14/2019-5/28/2019),"Regular Hours<br>
Regular Day ND<br>
Restday<br>
Company Vacation Leave (Taxable)","79(0)<br>
9(5)<br>
5(30)<br>
1(0)","13097.14<br>
138.85<br>
1,092.96<br>
152.86",14481.81,"SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","800<br>
364.37<br>
100.00<br>
201.13",1465.5,13016.31,,
MNL019012,2019-05-B (5/14/2019-5/28/2019),"Regular Hours<br>
Regular Overtime<br>
Regular Day ND<br>
Company Vacation Leave (Taxable)","87(15)<br>
4(0)<br>
1(55)<br>
0(45)","13135.35<br>
764.31<br>
29.30<br>
114.65",14043.61,"SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","800<br>
364.37<br>
100.00<br>
219.42",1483.79,12559.82,,
MNL019013,2019-05-B (5/14/2019-5/28/2019),"Regular Hours<br>
Regular Day ND<br>
Company Sick Leave<br>
Company Vacation Leave (Taxable)","81(31)<br>
39(42)<br>
3(17)<br>
3(22)","13156.76<br>
652.66<br>
539.77<br>
553.47",14902.66,"SSS Loan<br>
HDMF MP2 CONTRIBUTION<br>
SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","1476.64<br>
500.00<br>
580.00<br>
391.87<br>
100.00<br>
0.00",3048.51,11854.15,,
MNL019014,2019-05-B (5/14/2019-5/28/2019),"Regular Hours<br>
Company Vacation Leave (Taxable)<br>
Tardiness","76(30)<br>
3(30)<br>
3(30)","12182.8<br>
512.62<br>
(512.62)",12182.8,"SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","500<br>
349.12<br>
100.00<br>
0.00",949.12,11233.68,,
MNL019015,2019-05-B (5/14/2019-5/28/2019),"Regular Hours<br>
Regular Day ND<br>
Company Vacation Leave (Taxable)","95(30)<br>
22(25)<br>
0(30)","10190.87<br>
265.08<br>
59.13",10515.08,"SSS Contribution<br>
PhilHealth<br>
PagIbig<br>
Withholding Tax","420<br>
281.87<br>
100.00<br>
0.00",801.87,9713.21,,
